y,x,street_count,highway,ref,geometry
-12.001176,-77.0566967,3,N/A,N/A,POINT (-77.0566967 -12.001176)
-12.0016556,-77.0566243,3,N/A,N/A,POINT (-77.0566243 -12.0016556)
-11.9986444,-77.0563098,3,N/A,N/A,POINT (-77.0563098 -11.9986444)
-11.9996536,-77.0561613,4,N/A,N/A,POINT (-77.0561613 -11.9996536)
-12.0005957,-77.0560134,4,N/A,N/A,POINT (-77.0560134 -12.0005957)
-11.9995389,-77.0553507,3,N/A,N/A,POINT (-77.0553507 -11.9995389)
-11.9986361,-77.052996,3,N/A,N/A,POINT (-77.052996 -11.9986361)
-12.0000343,-77.0530104,3,N/A,N/A,POINT (-77.0530104 -12.0000343)
-11.9995221,-77.0538908,3,N/A,N/A,POINT (-77.0538908 -11.9995221)
-11.999517,-77.0544157,3,N/A,N/A,POINT (-77.0544157 -11.999517)
-11.9995123,-77.0548856,3,N/A,N/A,POINT (-77.0548856 -11.9995123)
-11.9990614,-77.0538925,3,N/A,N/A,POINT (-77.0538925 -11.9990614)
-11.9990817,-77.0549326,3,N/A,N/A,POINT (-77.0549326 -11.9990817)
-12.0007394,-77.0496986,3,N/A,N/A,POINT (-77.0496986 -12.0007394)
-12.000653,-77.0524156,3,N/A,N/A,POINT (-77.0524156 -12.000653)
-11.9997669,-77.0523031,3,N/A,N/A,POINT (-77.0523031 -11.9997669)
-12.0014503,-77.0525634,3,crossing,N/A,POINT (-77.0525634 -12.0014503)
-11.9977324,-77.0534717,3,N/A,N/A,POINT (-77.0534717 -11.9977324)
-11.998635,-77.0534601,4,N/A,N/A,POINT (-77.0534601 -11.998635)
-12.0000325,-77.0534422,3,N/A,N/A,POINT (-77.0534422 -12.0000325)
-12.0000307,-77.0538905,3,N/A,N/A,POINT (-77.0538905 -12.0000307)
-11.998634,-77.05389,3,N/A,N/A,POINT (-77.05389 -11.998634)
-11.9986325,-77.0544843,3,N/A,N/A,POINT (-77.0544843 -11.9986325)
-11.9986373,-77.0525373,4,N/A,N/A,POINT (-77.0525373 -11.9986373)
-12.0005091,-77.0543289,3,N/A,N/A,POINT (-77.0543289 -12.0005091)
-12.0005098,-77.0530521,3,N/A,N/A,POINT (-77.0530521 -12.0005098)
-12.0005103,-77.0525447,3,N/A,N/A,POINT (-77.0525447 -12.0005103)
-12.0009363,-77.0530509,3,N/A,N/A,POINT (-77.0530509 -12.0009363)
-12.0009297,-77.0542915,3,N/A,N/A,POINT (-77.0542915 -12.0009297)
-12.0014227,-77.0530495,4,N/A,N/A,POINT (-77.0530495 -12.0014227)
-12.0000287,-77.0543717,3,N/A,N/A,POINT (-77.0543717 -12.0000287)
-11.9997631,-77.0525287,3,N/A,N/A,POINT (-77.0525287 -11.9997631)
-12.0014934,-77.0525733,4,N/A,N/A,POINT (-77.0525733 -12.0014934)
-12.0015624,-77.0520788,4,N/A,N/A,POINT (-77.0520788 -12.0015624)
-12.0006673,-77.0519657,4,N/A,N/A,POINT (-77.0519657 -12.0006673)
-11.9997755,-77.0518528,3,N/A,N/A,POINT (-77.0518528 -11.9997755)
-11.9992885,-77.0525298,3,N/A,N/A,POINT (-77.0525298 -11.9992885)
-11.9992972,-77.0513543,3,N/A,N/A,POINT (-77.0513543 -11.9992972)
-11.9990869,-77.0544781,3,N/A,N/A,POINT (-77.0544781 -11.9990869)
