osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,ref,bridge,junction
68863200,False,,Los Cipreses,residential,,False,66.88900000000001,"LINESTRING (-77.0505433 -12.0055672, -77.0508039 -12.0056192, -77.0511459 -12.0056874)",,N/A,,
693974825,False,,Los Eucaliptos,residential,,False,58.675999999999995,"LINESTRING (-77.0505433 -12.0055672, -77.0503156 -12.0058108, -77.0502987 -12.0058366, -77.05029 -12.0058663, -77.0502646 -12.0060001)",,N/A,,
693974825,False,,Los Eucaliptos,residential,,True,18.816,"LINESTRING (-77.0505433 -12.0055672, -77.0506044 -12.0055039, -77.0506645 -12.0054465)",,N/A,,
68863200,False,,Los Cipreses,residential,,False,51.371,"LINESTRING (-77.0525033 -12.0059583, -77.0529661 -12.0060506)",,N/A,,
68863210,False,,Los Ficus,residential,,True,33.251,"LINESTRING (-77.0525033 -12.0059583, -77.0525575 -12.005664)",,N/A,,
68863200,False,,Los Cipreses,residential,,True,51.606,"LINESTRING (-77.0525033 -12.0059583, -77.0524349 -12.0059446, -77.0520384 -12.0058655)",,N/A,,
68863210,False,,Los Ficus,residential,,False,50.753,"LINESTRING (-77.0525033 -12.0059583, -77.052462 -12.0061714, -77.0524258 -12.006364, -77.0524178 -12.006407)",,N/A,,
68863201,False,,Las Casuarinas,residential,,False,52.201,"LINESTRING (-77.052144 -12.0077894, -77.0526144 -12.0078826)",,N/A,,
68863210,False,,Los Ficus,residential,,False,29.277,"LINESTRING (-77.052144 -12.0077894, -77.0520934 -12.008048)",,N/A,,
68863210,False,,Los Ficus,residential,,True,144.52100000000002,"LINESTRING (-77.052144 -12.0077894, -77.0522863 -12.0070579, -77.0523839 -12.0065784, -77.0523971 -12.0065135)",,N/A,,
68863201,False,,Las Casuarinas,residential,,False,47.026,"LINESTRING (-77.0526144 -12.0078826, -77.0530382 -12.0079664)",,N/A,,
68863201,False,,Las Casuarinas,residential,,True,52.201,"LINESTRING (-77.0526144 -12.0078826, -77.052144 -12.0077894)",,N/A,,
68863208,False,,Calle Los Cedros,residential,,True,144.887,"LINESTRING (-77.0526144 -12.0078826, -77.0528576 -12.0066015)",,N/A,,
68863209,False,,Calle Los Damascos,residential,,False,145.194,"LINESTRING (-77.0532933 -12.0066847, -77.0530382 -12.0079664)",,N/A,,
330254581,True,,16 de Marzo,residential,45,False,48.282000000000004,"LINESTRING (-77.0532933 -12.0066847, -77.0528785 -12.0066055, -77.0528576 -12.0066015)",,N/A,,
68863208,False,,Calle Los Cedros,residential,,False,144.887,"LINESTRING (-77.0528576 -12.0066015, -77.0526144 -12.0078826)",,N/A,,
330254581,True,,16 de Marzo,residential,45,False,51.032,"LINESTRING (-77.0528576 -12.0066015, -77.0524601 -12.0065256, -77.0523971 -12.0065135)",,N/A,,
68863210,False,,Los Ficus,residential,,True,12.054,"LINESTRING (-77.0523971 -12.0065135, -77.0524178 -12.006407)",,N/A,,
68863210,False,,Los Ficus,residential,,False,144.52100000000002,"LINESTRING (-77.0523971 -12.0065135, -77.0523839 -12.0065784, -77.0522863 -12.0070579, -77.052144 -12.0077894)",,N/A,,
330254581,True,,16 de Marzo,residential,45,False,52.48199999999999,"LINESTRING (-77.0523971 -12.0065135, -77.052324 -12.0064996, -77.0519979 -12.0064373, -77.0519235 -12.0064231)",,N/A,,
68863204,False,,Los Nardos,residential,,False,54.278,"LINESTRING (-77.0519235 -12.0064231, -77.051829 -12.0069024)",,N/A,,
441542358,False,,Los Nardos,residential,,False,12.018,"LINESTRING (-77.0519235 -12.0064231, -77.0519429 -12.0063167)",,N/A,,
330254581,True,,16 de Marzo,residential,45,False,98.804,"LINESTRING (-77.0519235 -12.0064231, -77.0518357 -12.0064063, -77.0515237 -12.0063467, -77.051096 -12.006265, -77.0510319 -12.0062528)",,N/A,,
68863210,False,,Los Ficus,residential,,False,12.054,"LINESTRING (-77.0524178 -12.006407, -77.0523971 -12.0065135)",,N/A,,
68863210,False,,Los Ficus,residential,,True,50.753,"LINESTRING (-77.0524178 -12.006407, -77.0524258 -12.006364, -77.052462 -12.0061714, -77.0525033 -12.0059583)",,N/A,,
118543095,True,,16 de Marzo,residential,45,False,152.022,"LINESTRING (-77.0524178 -12.006407, -77.0524814 -12.006419, -77.0528608 -12.0064912, -77.0532931 -12.0065733, -77.0536997 -12.0066506, -77.0537899 -12.0066677)",,N/A,,
68863205,False,,Jirón 4 de Abril,residential,,False,120.935,"LINESTRING (-77.0510358 -12.0085869, -77.0508257 -12.0096549)",,N/A,,
68864309,False,,Los Jacintos,residential,,False,50.024,"LINESTRING (-77.0510358 -12.0085869, -77.0514873 -12.0086727)",,N/A,,
68864309,False,,Los Jacintos,residential,,True,49.531,"LINESTRING (-77.0510358 -12.0085869, -77.0505888 -12.0085017)",,N/A,,
68863205,False,,Jirón 4 de Abril,residential,,False,50.802,"LINESTRING (-77.0508257 -12.0096549, -77.0507372 -12.0101035)",,N/A,,
68863205,False,,Jirón 4 de Abril,residential,,True,120.935,"LINESTRING (-77.0508257 -12.0096549, -77.0510358 -12.0085869)",,N/A,,
68863214,False,,Las Acacias,residential,,False,49.548,"LINESTRING (-77.0508257 -12.0096549, -77.0503787 -12.0095689)",,N/A,,
68863214,False,,Las Acacias,residential,,True,49.832,"LINESTRING (-77.0508257 -12.0096549, -77.0512754 -12.0097407)",,N/A,,
68863205,False,,Jirón 4 de Abril,residential,,True,50.802,"LINESTRING (-77.0507372 -12.0101035, -77.0508257 -12.0096549)",,N/A,,
68863207,False,,El Trébol,residential,,True,101.368,"LINESTRING (-77.0507372 -12.0101035, -77.0516532 -12.0102718)",,N/A,,
68863205,False,,Jirón 4 de Abril,residential,,False,52.059,"LINESTRING (-77.0507372 -12.0101035, -77.050657 -12.0105095, -77.0506465 -12.0105632)",,N/A,,
452154564,False,,Avenida 18 de Enero,residential,,True,28.874,"LINESTRING (-77.0506465 -12.0105632, -77.050385 -12.0105184)",,N/A,,
1100752648,False,,Avenida 18 de Enero,residential,,False,100.887,"LINESTRING (-77.0506465 -12.0105632, -77.0515602 -12.0107197)",,N/A,,
68863205,False,,Jirón 4 de Abril,residential,,True,52.059,"LINESTRING (-77.0506465 -12.0105632, -77.050657 -12.0105095, -77.0507372 -12.0101035)",,N/A,,
68863206,False,,Los Crisantemos,residential,,False,120.972,"LINESTRING (-77.0514873 -12.0086727, -77.0512754 -12.0097407)",,N/A,,
68864309,False,,Los Jacintos,residential,,False,51.685,"LINESTRING (-77.0514873 -12.0086727, -77.0519538 -12.0087613)",,N/A,,
68864309,False,,Los Jacintos,residential,,True,50.024,"LINESTRING (-77.0514873 -12.0086727, -77.0510358 -12.0085869)",,N/A,,
68863206,False,,Los Crisantemos,residential,,True,120.972,"LINESTRING (-77.0512754 -12.0097407, -77.0514873 -12.0086727)",,N/A,,
68863214,False,,Las Acacias,residential,,False,49.832,"LINESTRING (-77.0512754 -12.0097407, -77.0508257 -12.0096549)",,N/A,,
68863214,False,,Las Acacias,residential,,True,51.992,"LINESTRING (-77.0512754 -12.0097407, -77.0517446 -12.0098302)",,N/A,,
68863207,False,,El Trébol,residential,,False,101.368,"LINESTRING (-77.0516532 -12.0102718, -77.0507372 -12.0101035)",,N/A,,
337426077,False,,Los Ficus,residential,,True,50.1,"LINESTRING (-77.0516532 -12.0102718, -77.0517446 -12.0098302)",,N/A,,
337426077,False,,Los Ficus,residential,,False,50.821,"LINESTRING (-77.0516532 -12.0102718, -77.0515788 -12.0106303, -77.0515602 -12.0107197)",,N/A,,
1071778736,False,,Los Ficus,residential,,True,11.731,"LINESTRING (-77.0532775 -12.0015265, -77.0532775 -12.001421)",,N/A,,
1155873430,True,,Avenida Los Jazmines,tertiary,50,False,24.831,"LINESTRING (-77.0532775 -12.0015265, -77.0530492 -12.0015267)",,N/A,,
1071778736,False,,Los Ficus,residential,,False,51.995,"LINESTRING (-77.0532775 -12.0015265, -77.0532771 -12.0015927, -77.0532749 -12.0019941)",,N/A,,
68865791,False,,Las Sandías,residential,,True,50.48,"LINESTRING (-77.0532749 -12.0019941, -77.053739 -12.0019981)",,N/A,,
1071778736,False,,Los Ficus,residential,,False,79.127,"LINESTRING (-77.0532749 -12.0019941, -77.0531413 -12.0026936)",,N/A,,
1071778736,False,,Los Ficus,residential,,True,51.995,"LINESTRING (-77.0532749 -12.0019941, -77.0532771 -12.0015927, -77.0532775 -12.0015265)",,N/A,,
68863210,False,,Los Ficus,residential,,True,121.015,"LINESTRING (-77.0517446 -12.0098302, -77.0519538 -12.0087613)",,N/A,,
68863214,False,,Las Acacias,residential,,False,51.992,"LINESTRING (-77.0517446 -12.0098302, -77.0512754 -12.0097407)",,N/A,,
337426077,False,,Los Ficus,residential,,False,50.1,"LINESTRING (-77.0517446 -12.0098302, -77.0516532 -12.0102718)",,N/A,,
1100752648,False,,Avenida 18 de Enero,residential,,True,100.887,"LINESTRING (-77.0515602 -12.0107197, -77.0506465 -12.0105632)",,N/A,,
337426077,False,,Los Ficus,residential,,True,50.821,"LINESTRING (-77.0515602 -12.0107197, -77.0515788 -12.0106303, -77.0516532 -12.0102718)",,N/A,,
337426078,False,2,Avenida 18 de Enero,residential,40,False,134.271,"LINESTRING (-77.0515602 -12.0107197, -77.0516102 -12.0107284, -77.0516449 -12.0107345, -77.0518634 -12.0107726, -77.0519326 -12.0107846, -77.0519886 -12.0107944, -77.0526763 -12.0109143, -77.052712 -12.0109205, -77.0527605 -12.010929, -77.0527756 -12.0109316)",,N/A,,
68863214,False,,Las Acacias,residential,,True,49.548,"LINESTRING (-77.0503787 -12.0095689, -77.0508257 -12.0096549)",,N/A,,
118432765,False,,Avenida 21 de Junio,residential,,True,120.847,"LINESTRING (-77.0503787 -12.0095689, -77.0505888 -12.0085017)",,N/A,,
118432765,False,,Avenida 21 de Junio,residential,,False,116.52900000000001,"LINESTRING (-77.0503787 -12.0095689, -77.0502324 -12.0103006, -77.0502252 -12.0103473, -77.0502267 -12.0103809, -77.0502334 -12.0104098, -77.0502454 -12.0104367, -77.0502654 -12.0104611, -77.050297 -12.010483, -77.0503365 -12.0105032, -77.050385 -12.0105184)",,N/A,,
68863215,False,,Jirón Chincha,residential,,False,91.988,"LINESTRING (-77.0576723 -12.0022845, -77.0568344 -12.002172)",,N/A,,
4828411,True,,Avenida Industrial,secondary,50,False,23.198999999999998,"LINESTRING (-77.0576723 -12.0022845, -77.0576747 -12.002204, -77.0576745 -12.002152, -77.0576744 -12.0020759)",,N/A,,
68863215,False,,Jirón Chincha,residential,,False,53.437,"LINESTRING (-77.0568344 -12.002172, -77.0563485 -12.0021009)",,N/A,,
68863215,False,,Jirón Chincha,residential,,True,91.988,"LINESTRING (-77.0568344 -12.002172, -77.0576723 -12.0022845)",,N/A,,
68863217,False,,,residential,,False,52.484,"LINESTRING (-77.0568344 -12.002172, -77.0567741 -12.0026403)",,N/A,,
68863215,False,,Jirón Chincha,residential,,False,147.229,"LINESTRING (-77.0563485 -12.0021009, -77.0550131 -12.0018842)",,N/A,,
68863215,False,,Jirón Chincha,residential,,True,53.437,"LINESTRING (-77.0563485 -12.0021009, -77.0568344 -12.002172)",,N/A,,
68863221,False,,Cañete,residential,,False,52.767,"LINESTRING (-77.0563485 -12.0021009, -77.056267 -12.0025687)",,N/A,,
68863221,False,,Cañete,residential,,True,53.306,"LINESTRING (-77.0563485 -12.0021009, -77.056427 -12.0016277)",,N/A,,
68863215,False,,Jirón Chincha,residential,,True,147.229,"LINESTRING (-77.0550131 -12.0018842, -77.0563485 -12.0021009)",,N/A,,
444489483,True,2,Calle Gerardo Unger,tertiary,40,False,53.982,"LINESTRING (-77.0550131 -12.0018842, -77.0549595 -12.0022013, -77.054935 -12.0023636)",,N/A,,
68863216,False,,Jirón Celendin,residential,,False,146.658,"LINESTRING (-77.054935 -12.0023636, -77.056267 -12.0025687)",,N/A,,
444489483,True,2,Calle Gerardo Unger,tertiary,40,False,52.17,"LINESTRING (-77.054935 -12.0023636, -77.054866 -12.0028279)",,N/A,,
68863216,False,,Jirón Celendin,residential,,True,146.658,"LINESTRING (-77.056267 -12.0025687, -77.054935 -12.0023636)",,N/A,,
68863221,False,,Cañete,residential,,False,53.702,"LINESTRING (-77.056267 -12.0025687, -77.0561841 -12.0030448)",,N/A,,
68863221,False,,Cañete,residential,,True,52.767,"LINESTRING (-77.056267 -12.0025687, -77.0563485 -12.0021009)",,N/A,,
68863217,False,,,residential,,False,53.72,"LINESTRING (-77.0567741 -12.0026403, -77.0567155 -12.00312)",,N/A,,
68863217,False,,,residential,,True,52.484,"LINESTRING (-77.0567741 -12.0026403, -77.0568344 -12.002172)",,N/A,,
68863218,False,,Jirón Celendin,residential,,False,92.849,"LINESTRING (-77.0567741 -12.0026403, -77.0576182 -12.002765)",,N/A,,
68863217,False,,,residential,,True,53.72,"LINESTRING (-77.0567155 -12.00312, -77.0567741 -12.0026403)",,N/A,,
68863222,True,,12 de Julio,residential,,False,58.399,"LINESTRING (-77.0567155 -12.00312, -77.0561841 -12.0030448)",,N/A,,
68863218,False,,Jirón Celendin,residential,,True,92.849,"LINESTRING (-77.0576182 -12.002765, -77.0567741 -12.0026403)",,N/A,,
4828411,True,,Avenida Industrial,secondary,50,False,53.795,"LINESTRING (-77.0576182 -12.002765, -77.0576435 -12.0025917, -77.0576698 -12.0023711, -77.0576723 -12.0022845)",,N/A,,
68863221,False,,Cañete,residential,,False,51.397,"LINESTRING (-77.0560981 -12.0035388, -77.0560293 -12.0039961)",,N/A,,
68863221,False,,Cañete,residential,,True,55.721,"LINESTRING (-77.0560981 -12.0035388, -77.0561841 -12.0030448)",,N/A,,
